trainer,rank_singles_uncursed,rank_doubles_uncursed,rank_delta,rating_singles_uncursed,rating_doubles_uncursed,rating_delta,battles_singles_uncursed,battles_doubles_uncursed
MASKEDVILLAIN2:Teal#22,17,11,6,2265.0,2259.98,-5.02,542,536
MASKEDVILLAIN2:Teal#9,127,121,6,1948.41,1980.08,31.67,542,536
SCHOOLKID_F3:Dinah,292,298,-6,1506.7,1475.46,-31.24,542,536
SCHOOLKID_F4:Lucia,262,256,6,1555.19,1575.69,20.5,542,536
SCIENTIST_F3:Viola,415,409,6,1108.89,1122.93,14.04,540,536
SPIRITGUARDIAN3:Preeti,9,15,-6,2318.79,2251.92,-66.87,542,536
SWIMMER_F3:Bree,339,333,6,1375.86,1369.71,-6.15,542,536
TRAINER_Alessa:Alessa#2,342,336,6,1354.43,1357.31,2.88,540,536
WORKER5:Jbsundown,128,134,-6,1948.41,1940.38,-8.03,542,536
BEAUTY6:Brenda,306,311,-5,1455.37,1441.51,-13.86,542,536
BUTLER:Sagan,206,211,-5,1718.68,1708.28,-10.4,539,535
CLERK_F:Rosalie,337,342,-5,1378.81,1344.65,-34.16,542,536
COOLTRAINER_M7:Emir,280,275,5,1520.51,1529.14,8.63,541,536
DELINQUENT:Jeralyn,432,437,-5,1011.86,964.66,-47.2,541,536
GUITARIST3:Athena,246,251,-5,1589.49,1582.63,-6.86,542,536
GUITARIST3:Mai,470,465,5,831.89,832.45,0.56,542,536
HARLEQUIN:Vincenzi,516,511,5,613.38,630.47,17.09,542,536
HIKER2:Rhys,281,276,5,1520.28,1529.14,8.86,541,536
IDOL:Teagan,364,369,-5,1272.51,1240.93,-31.58,542,536
LEADER_Eko:Eko,476,471,5,818.63,810.07,-8.56,542,536
LEADER_Rafael:Rafael#1,406,401,5,1135.95,1139.36,3.41,542,536
LOST_RANGER_BLUE:Farid,247,242,5,1587.41,1605.77,18.36,541,536
MASKEDVILLAIN2:Teal#23,11,6,5,2295.14,2294.66,-0.48,542,536
MASKEDVILLAIN2_DOUBLE:Teal,146,151,-5,1890.55,1876.1,-14.45,540,536
MASKEDVILLAIN:Crimson#16,97,102,-5,2045.02,2034.88,-10.14,542,536
MASKEDVILLAIN_DOUBLE:Crimson#1,204,209,-5,1722.87,1712.25,-10.62,541,536
NURSE:Ellen,427,432,-5,1031.66,982.12,-49.54,542,536
PILOT:Kurtis,243,248,-5,1598.74,1589.58,-9.16,542,536
POKEMONMASTER_Vanya:Vanya#21,114,109,5,2011.14,2016.06,4.92,541,536
POKEMONMASTER_Vanya:Vanya#9,117,112,5,1993.31,2012.28,18.97,541,536
POKEMONRANGER_M2:Connor,461,456,5,867.01,872.37,5.36,542,536
POKEMONTRAINER_Yezera:Yezera#3,443,438,5,936.75,964.66,27.91,542,536
PUNKM:Vlad,349,354,-5,1319.9,1291.25,-28.65,542,536
SCHOOLKID_F:Arya,493,488,5,737.01,745.86,8.85,542,536
SCIENTIST_M:Julien,407,412,-5,1133.72,1106.34,-27.38,541,536
SOCIALITE:Elizabeth,511,516,-5,657.7,592.41,-65.29,542,536
VETERANM_2:Roy,239,234,5,1615.11,1641.64,26.53,542,536
WILDPARTY_FINI:of Hope,210,205,5,1703.77,1726.38,22.61,542,536
ARTIST2:Frank,325,329,-4,1404.65,1375.81,-28.84,542,536
BATTLEGIRL:Eliza,526,522,4,544.39,539.97,-4.42,542,536
BIRDKEEPER_M2:Vlasta,208,204,4,1716.23,1728.37,12.14,542,536
BLACKBELT2:Riccardo,276,272,4,1534.6,1531.5,-3.1,542,536
BURGLAR:Martino,135,139,-4,1916.83,1929.13,12.3,541,536
CHALLENGER_Vanya:Vanya#3,421,417,4,1048.69,1055.61,6.92,542,536
CHEF:Travis,508,504,4,657.7,661.15,3.45,542,536
CLERK_M2:Alejandro,435,431,4,984.41,986.48,2.07,542,536
CLOWN:Klemens,454,450,4,885.83,885.61,-0.22,541,536
COLLECTOR:Mirko,366,362,4,1269.32,1262.9,-6.42,542,536
COOLTRAINER_F7:Blaire,332,328,4,1385.57,1377.97,-7.6,542,536
DITTO_AROMALADY:Cindalice,424,428,-4,1035.92,999.54,-36.38,542,536
DITTO_HIKER:Kevinick,425,429,-4,1035.92,999.54,-36.38,542,536
GENTLEMAN:Nicholas,299,295,4,1481.84,1480.52,-1.32,541,536
IDEALTRAINER:of Origins,148,152,-4,1886.88,1872.86,-14.02,542,536
LASS:Tara,482,478,4,796.39,787.47,-8.92,542,536
LEADER_Samorn:Samorn,141,145,-4,1905.4,1914.22,8.82,542,536
LINEBACKER:Josh,500,496,4,693.6,697.35,3.75,542,536
MASKEDVILLAIN_DOUBLE:Crimson,227,231,-4,1650.9,1651.47,0.57,540,536
NINJABOY:Matthew,530,534,-4,501.56,455.81,-45.75,542,536
PARASOLLADY2:Antoinette,219,223,-4,1676.95,1676.75,-0.2,542,536
POKEFAN_M:Jamie,512,508,4,641.58,644.87,3.29,541,536
ROUGHNECK2:Robert,434,430,4,988.72,990.84,2.12,542,536
SAGE:Shion,422,418,4,1048.69,1055.61,6.92,542,536
SCIENTIST_F3:Nkechi,194,198,-4,1773.3,1745.82,-27.48,541,536
SUPERNERD:John,353,357,-4,1310.03,1280.74,-29.29,542,536
SUSPICIOUSMAN:Tommaso,226,230,-4,1651.44,1652.42,0.98,542,536
SWIMMER_F4:Yvonne,286,290,-4,1513.75,1497.9,-15.85,542,536
SWIMMER_F:Cosmina,263,267,-4,1555.19,1552.54,-2.65,542,536
SWIMMER_M4:Jan,369,373,-4,1254.77,1233.48,-21.29,542,536
TEENAGERF:Naomi,491,495,-4,741.69,712.24,-29.45,542,536
TOURISTM:Francois,198,194,4,1765.75,1753.61,-12.14,541,536
TRAINER_Eifion:Eifion#3,52,48,4,2150.75,2134.6,-16.15,542,536
TRAINER_Imogene_B:Imogene,479,483,-4,809.76,769.15,-40.61,542,536
TWINS2:Bella and Meghan,399,395,4,1154.12,1153.46,-0.66,542,536
YOUNGSTER2:Davor,287,291,-4,1513.75,1497.9,-15.85,542,536
AROMALADY:Cheshire,455,458,-3,884.49,867.95,-16.54,542,536
AROMALADY:Hannah,524,527,-3,551.13,503.66,-47.47,542,536
ARTIST3_GHOST:Alicynthia,326,323,3,1396.17,1404.23,8.06,542,536
BOARDER:Alex,444,441,3,928.05,925.21,-2.84,542,536
CAMPER_F:Veronica,372,375,-3,1251.17,1229.73,-21.44,542,536
CHALLENGER_Vanya:Vanya#8,100,103,-3,2037.5,2029.24,-8.26,542,536
CLERK_M2:Zoltan,442,445,-3,941.09,907.63,-33.46,542,536
CYCLIST_F2:Lukka,321,318,3,1407.44,1412.27,4.83,542,536
DITTO_CAMPER:Johnate,428,425,3,1023.11,1012.56,-10.55,542,536
GAMBLER:Gregor,501,498,3,688.61,692.32,3.71,542,536
GARDENER:Jacek,404,407,-3,1141.63,1129.05,-12.58,542,536
HIKER2:Jude,518,521,-3,589.53,546.88,-42.65,542,536
IDOL:Ishizu,481,484,-3,796.39,750.56,-45.83,542,536
LEADER_Zoe:Zoé#1,348,351,-3,1319.9,1308.41,-11.49,542,536
MAID2:Maddie,312,309,3,1439.86,1452.17,12.31,542,536
MASKEDVILLAIN2:Teal#8,156,153,3,1871.27,1870.45,-0.82,542,536
MASKEDVILLAIN2_DOUBLE:Teal#12,89,86,3,2054.74,2070.55,15.81,541,536
POKEMONBREEDER_M4:Isaac,363,366,-3,1274.79,1246.92,-27.87,542,536
POKEMONRANGER_M3:Grant,352,349,3,1310.03,1315.81,5.78,542,536
POKEMONRANGER_M:Alastar,261,264,-3,1555.19,1557.18,1.99,542,536
POKEMONTRAINER_Yezera:Yezera,507,510,-3,662.97,639.32,-23.65,542,536
POKEMONTRAINER_Yezera:Yezera#1,484,481,3,769.33,782.91,13.58,542,536
POKEMONTRAINER_Yezera:Yezera#2,464,461,3,858.25,859.1,0.85,542,536
SAGE:Rennyo,520,523,-3,577.1,539.97,-37.13,542,536
SCIENTIST_F:Marie,502,505,-3,683.57,661.15,-22.42,542,536
SCIENTIST_F:Zofia,374,371,3,1242.46,1234.93,-7.53,542,536
SWIMMER_M3:Diego,302,299,3,1477.87,1475.46,-2.41,542,536
TAPU_BULU:Tapu Bulu#1,37,34,3,2187.77,2178.6,-9.17,542,536
TRAINER_Alessa:Alessa#1,463,466,-3,863.06,823.52,-39.54,541,536
TUBER_M:Peter,533,530,3,494.0,480.36,-13.64,542,536
WILDPACK:Solar,173,176,-3,1821.63,1799.98,-21.65,542,536
WORKER:Bryn,405,408,-3,1139.99,1127.06,-12.93,542,536
ANCIENTPRIEST:Radzayac,251,249,2,1580.21,1587.26,7.05,542,536
BIKER:Knoxx,285,283,2,1513.75,1514.87,1.12,542,536
BIRDKEEPER_F:Amanda,457,455,2,882.49,872.37,-10.12,542,536
BLACKBELT:Leo,139,137,2,1909.1,1932.87,23.77,542,536
CHALLENGER_Vanya:Vanya,514,512,2,625.42,628.03,2.61,541,536
COLLECTOR:Emre,419,421,-2,1052.93,1034.16,-18.77,542,536
DOCTOR:Peio,385,387,-2,1222.81,1187.45,-35.36,542,536
DRAGONTAMER:Georgius,488,490,-2,755.6,726.82,-28.78,542,536
FIREBREATHER:Antonio,527,525,2,530.57,518.55,-12.02,542,536
GUITARIST:Reece,521,519,2,570.76,566.98,-3.78,542,536
HIKER:Dave,535,537,-2,462.42,429.92,-32.5,542,536
IDEALTRAINER:of Riches,138,140,-2,1911.25,1929.13,17.88,542,536
LEADER_Bence:Bence,409,411,-2,1127.83,1114.65,-13.18,542,536
LEADER_Helena:Helena#1,429,427,2,1018.83,1008.22,-10.61,542,536
LINEBACKER:Lorenzo,408,410,-2,1132.77,1120.4,-12.37,542,536
MASKEDVILLAIN2:Teal#6,186,188,-2,1797.51,1780.65,-16.86,541,536
MASKEDVILLAIN2_DOUBLE:Teal#1,118,120,-2,1987.77,1981.97,-5.8,540,536
MEDIUM:Theoni,489,487,2,750.98,745.86,-5.12,542,536
POKEFAN_F3:Margaret,438,436,2,967.11,973.39,6.28,542,536
POKEMONBREEDER_F4:Sara,320,322,-2,1410.22,1407.67,-2.55,542,536
PSYCHIC_F2:Ludmila,478,480,-2,809.76,787.47,-22.29,542,536
PSYCHIC_F3:Felicia,188,190,-2,1794.14,1774.35,-19.79,542,536
PSYCHIC_M:Uriel,522,520,2,570.76,560.38,-10.38,542,536
RICHBOY3:Ryan,295,297,-2,1498.4,1475.46,-22.94,542,536
RUINMANIAC:Colby,330,332,-2,1390.45,1369.71,-20.74,542,536
SAILOR:Konrad,414,416,-2,1111.46,1072.65,-38.81,542,536
SCHOOLKID_M2:Branimir,499,501,-2,698.56,671.73,-26.83,542,536
SCIENTIST_F:Natasha,431,433,-2,1014.54,982.12,-32.42,542,536
SHADOWMAVIS:Mavis#1,14,12,2,2277.55,2259.98,-17.57,542,536
SKIER_F2:Valeriya,445,447,-2,920.78,907.63,-13.15,541,536
TRAINER_Alessa:Alessa,496,494,2,713.21,717.13,3.92,542,536
TRAINER_Keoni:Keoni,498,500,-2,703.48,679.9,-23.58,542,536
TRAINER_Zain:Zain#1,311,313,-2,1441.06,1437.68,-3.38,541,536
WILDPACK:Frigid,170,168,2,1828.65,1816.84,-11.81,542,536
ARTIST4:Rabah,300,301,-1,1480.17,1467.8,-12.37,542,536
ARTIST:Arnold,357,358,-1,1296.63,1278.19,-18.44,542,536
ARTIST:Evan,525,526,-1,544.39,511.17,-33.22,542,536
BACKPACKER_F:Mia,336,335,1,1378.81,1360.91,-17.9,542,536
BAKER:Margerie,323,324,-1,1405.2,1401.77,-3.43,540,536
BAKER:Rose,505,506,-1,668.2,655.78,-12.42,542,536
BATTLEGIRL2:Juniper,235,236,-1,1629.41,1624.77,-4.64,542,536
BATTLEGIRL3:Kryska,412,413,-1,1115.99,1102.15,-13.84,541,536
BEAUTY4:Brunhilda,282,281,1,1518.41,1522.03,3.62,542,536
BOARDER:Lev,433,434,-1,1005.95,973.39,-32.56,542,536
BURGLAR:Barret,486,485,1,764.77,745.86,-18.91,542,536
CAMERAMAN2:Octavio,378,379,-1,1229.22,1214.69,-14.53,542,536
CAMPER:Liam,416,415,1,1103.2,1081.13,-22.07,542,536
CAMPER_M:Nick,268,269,-1,1541.48,1543.23,1.75,542,536
CHALLENGER_Vanya:Vanya#4,345,344,1,1326.39,1331.71,5.32,542,536
CLERK_F:Lily,494,493,1,722.82,717.13,-5.69,542,536
COOLTRAINER_F:Reina,308,307,1,1449.5,1454.81,5.31,542,536
COWGIRL:Sasha,390,391,-1,1187.5,1171.63,-15.87,542,536
DITTO_PROTRAINER:Xandevon,346,345,1,1326.39,1331.71,5.32,542,536
DRAGONTAMER:Arthur,223,224,-1,1669.17,1671.19,2.02,542,536
FAIRYTALEGIRL:Maja,487,486,1,764.77,745.86,-18.91,542,536
GENTLEMAN:Wilfrid,534,533,1,486.31,455.81,-30.5,542,536
GUITARIST2:Alan,379,380,-1,1229.22,1210.74,-18.48,542,536
HEXMANIAC_GHOST:Juno,338,339,-1,1378.81,1354.17,-24.64,542,536
LASS2:Sienna,537,536,1,454.17,447.34,-6.83,542,536
LEADER_Bence:Bence#3,56,57,-1,2143.65,2115.43,-28.22,542,536
LEADER_Lambert:Lambert,513,514,-1,630.48,604.6,-25.88,542,536
LEADER_Lambert:Lambert#1,503,502,1,678.49,666.47,-12.02,542,536
LEADER_Lambert:Lambert#3,57,58,-1,2136.52,2113.65,-22.87,542,536
MAID:Alice,490,491,-1,746.35,724.6,-21.75,542,536
MASKEDVILLAIN2:Teal#17,68,67,1,2111.4,2097.51,-13.89,542,536
MASKEDVILLAIN2:Teal#4,180,181,-1,1806.8,1792.13,-14.67,542,536
MASKEDVILLAIN:Crimson#10,217,216,1,1682.91,1697.85,14.94,542,536
MASKEDVILLAIN:Crimson#2,272,273,-1,1539.19,1531.5,-7.69,542,536
MASKEDVILLAIN:Crimson#23,5,4,1,2328.86,2317.58,-11.28,542,536
NURSERYAIDE:Francesca,391,392,-1,1187.5,1171.63,-15.87,542,536
POKEFAN_F2:Tsveta,471,470,1,827.48,814.57,-12.91,542,536
POKEMANIAC:Nikos,423,424,-1,1044.44,1029.85,-14.59,542,536
POKEMONMASTER_Vanya:Vanya#12,157,156,1,1865.41,1859.78,-5.63,542,536
POKEMONMASTER_Vanya:Vanya#15,131,130,1,1938.98,1944.14,5.16,542,536
POKEMONRANGER_M2:Martel,418,419,-1,1078.22,1054.95,-23.27,542,536
RUINMANIAC:Spencer,504,503,1,673.37,666.47,-6.9,542,536
SAILOR:Dom,181,182,-1,1805.22,1792.13,-13.09,542,536
SAILOR:Dylan,523,524,-1,557.77,532.94,-24.83,542,536
SCIENTIST_M2:Dexter,510,509,1,657.7,644.87,-12.83,542,536
SKIER_F:Natalia,362,363,-1,1279.02,1259.28,-19.74,541,536
SWIMMER_M2:Finn,398,399,-1,1160.02,1145.32,-14.7,542,536
TEENAGERM:Jonas,519,518,1,589.53,579.88,-9.65,542,536
TRAINER_Candy:Candy,358,359,-1,1286.93,1270.09,-16.84,541,536
TUBER_F2:Hana,316,315,1,1415.74,1430.64,14.9,542,536
VETERANM:Taro,234,235,-1,1631.82,1627.16,-4.66,542,536
VETERANM_2:Hadley,371,370,1,1254.77,1240.93,-13.84,542,536
YOUNGSTER:Harvey,536,535,1,462.42,455.81,-6.61,542,536
ANOTHERPOSSIBLERAFAEL:Rafael,1,1,0,2454.97,2446.36,-8.61,542,536
BEAUTY3:Ester,360,360,0,1283.01,1266.5,-16.51,540,536
BIKER2:Chuck,389,389,0,1195.22,1179.57,-15.65,542,536
BUGCATCHER_F:Caitlyn,532,532,0,494.26,455.81,-38.45,541,536
CHALLENGER_Vanya:Vanya#2,451,451,0,893.22,879.05,-14.17,542,536
COOLTRAINER_M7:Xander,492,492,0,737.33,721.99,-15.34,541,536
DANCER:Isai,515,515,0,613.38,592.41,-20.97,542,536
DITTO_RANGER:Hannamy,426,426,0,1031.66,1012.56,-19.1,542,536
GENTLEMAN3:D,304,304,0,1460.44,1465.23,4.79,542,536
GUITARIST2:Brady,420,420,0,1052.93,1052.79,-0.14,542,536
HEXMANIAC:Lichenprincess,162,162,0,1847.73,1831.95,-15.78,542,536
KIMONOGIRL:Haera,448,448,0,906.29,898.83,-7.46,542,536
LADY2:Rebecca,528,528,0,530.57,496.03,-34.54,542,536
LASS4:Chloe,517,517,0,613.38,579.88,-33.5,542,536
LEADER_Helena:Helena,439,439,0,958.45,947.15,-11.3,542,536
MASKEDVILLAIN:Crimson#17,72,72,0,2100.51,2090.27,-10.24,542,536
MASKEDVILLAIN:Crimson#7,241,241,0,1610.18,1608.23,-1.95,542,536
NINJABOY:Hwan,453,453,0,888.85,876.78,-12.07,542,536
PARASOLLADY:Clarissa,449,449,0,895.49,886.79,-8.7,542,536
PSYCHIC_M2:Rohan,402,402,0,1144.02,1139.36,-4.66,542,536
ROLLERSKATER_M:Lane Tester,529,529,0,523.5,496.03,-27.47,542,536
TUBER_F:Sophie,531,531,0,501.56,472.32,-29.24,542,536
WAITER:Aaron,74,74,0,2095.16,2090.27,-4.89,539,536
